,game_id,datetime,date,time,home_name,home_abbrev,visitor_name,visitor_abbrev,home_score,visitor_score,home_prob,visitor_prob,overtime_prob,time_str,home_logo,visitor_logo,home_record,home_rank,visitor_record,visitor_rank
724,2024020725,2025-01-18T18:00:00,2025-01-18,18:00:00,Florida Panthers,FLA,Anaheim Ducks,ANA,4.552439781465348,2.5226264715745463,0.8078693305428789,0.19213066945712107,0.1161218318522832,6:00 PM,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,2-2-0,1st,1-1-0,1st
725,2024020726,2025-01-18T19:00:00,2025-01-18,19:00:00,Montréal Canadiens,MTL,Toronto Maple Leafs,TOR,2.8177884701140217,4.825936371360612,0.20703577389597588,0.7929642261040242,0.11437495888994992,7:00 PM,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,2-2-0,1st,2-1-0,1st
726,2024020727,2025-01-18T19:00:00,2025-01-18,19:00:00,Tampa Bay Lightning,TBL,Detroit Red Wings,DET,4.385603438030231,2.692017590076805,0.7660130598697049,0.23398694013029506,0.12637189857239453,7:00 PM,https://assets.nhle.com/logos/nhl/svg/TBL_dark.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,1-0-0,1st,1-2-0,1st
727,2024020728,2025-01-18T19:00:00,2025-01-18,19:00:00,New York Rangers,NYR,Columbus Blue Jackets,CBJ,4.879661540833398,2.603790554182035,0.8262253243968413,0.17377467560315873,0.10682813223308447,7:00 PM,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,2-0-1,1st,1-1-0,1st
728,2024020729,2025-01-18T19:00:00,2025-01-18,19:00:00,Washington Capitals,WSH,Pittsburgh Penguins,PIT,3.320167450003588,4.132435236598528,0.3682730604744435,0.6317269395255565,0.14277426538978705,7:00 PM,https://assets.nhle.com/logos/nhl/svg/WSH_dark.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,0-1-0,1st,2-2-0,1st
729,2024020730,2025-01-18T19:00:00,2025-01-18,19:00:00,Winnipeg Jets,WPG,Calgary Flames,CGY,3.82839989393694,2.73243389385243,0.6891922268976944,0.3108077731023055,0.14609908266940663,7:00 PM,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,3-0-0,1st,3-0-0,1st
730,2024020731,2025-01-18T19:30:00,2025-01-18,19:30:00,New York Islanders,NYI,San Jose Sharks,SJS,3.8407386964626458,2.719780389411197,0.6931590747656904,0.3068409252343096,0.145528080872757,7:30 PM,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,1-1-1,1st,0-1-1,1st
731,2024020732,2025-01-18T20:00:00,2025-01-18,20:00:00,Chicago Blackhawks,CHI,Vegas Golden Knights,VGK,2.9500110063235025,3.930091476733751,0.33429251049514425,0.6657074895048558,0.14538955360569947,8:00 PM,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,1-1-1,1st,3-0-0,1st
732,2024020733,2025-01-18T20:00:00,2025-01-18,20:00:00,Nashville Predators,NSH,Minnesota Wild,MIN,3.5199079391728216,3.1471592109097464,0.5660078198224948,0.4339921801775052,0.1561868078595589,8:00 PM,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,https://assets.nhle.com/logos/nhl/svg/MIN_dark.svg,0-2-0,1st,1-0-2,1st
733,2024020734,2025-01-18T21:00:00,2025-01-18,21:00:00,Utah Hockey Club,UTA,St. Louis Blues,STL,4.026092487943044,4.219369877632353,0.4702962761517927,0.5297037238482073,0.1408590155999731,9:00 PM,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg,https://assets.nhle.com/logos/nhl/svg/STL_dark.svg,3-1-0,1st,2-1-0,1st
734,2024020735,2025-01-18T22:00:00,2025-01-18,22:00:00,Vancouver Canucks,VAN,Edmonton Oilers,EDM,4.101015821505504,4.139053726529096,0.4941460427563919,0.5058539572436082,0.14119483597106247,10:00 PM,https://assets.nhle.com/logos/nhl/svg/VAN_dark.svg,https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg,0-0-2,1st,0-3-0,1st
735,2024020736,2025-01-18T22:00:00,2025-01-18,22:00:00,Seattle Kraken,SEA,Los Angeles Kings,LAK,3.1553813604042733,2.919899635460943,0.5443292869067584,0.4556707130932416,0.16487883982673346,10:00 PM,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,1-2-0,1st,1-0-2,1st
736,2024020737,2025-01-19T13:00:00,2025-01-19,13:00:00,New Jersey Devils,NJD,Ottawa Senators,OTT,4.595996991560998,3.170778978705294,0.7168083354941505,0.2831916645058495,0.12877657762585065,1:00 PM,https://assets.nhle.com/logos/nhl/svg/NJD_dark.svg,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,4-1-0,1st,2-1-0,1st
737,2024020738,2025-01-19T19:00:00,2025-01-19,19:00:00,Montréal Canadiens,MTL,New York Rangers,NYR,2.815496433478877,4.859852172551682,0.20352741067212723,0.7964725893278728,0.1131943067858931,7:00 PM,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,2-2-0,1st,2-0-1,1st
738,2024020739,2025-01-19T20:00:00,2025-01-19,20:00:00,Dallas Stars,DAL,Detroit Red Wings,DET,4.276531644565235,2.66169156612137,0.7584090833283729,0.24159091667162716,0.129520607831998,8:00 PM,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,3-0-0,1st,1-2-0,1st
