,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
293,John-Michael Liles,COL,D,59,1089.45,6,25,15,10,31,44.29,96,6.25,4.64,183,120,41,6,3,12,30,15,15,0,0,14,18,23,40,51,89,0,0,-
294,Darcy Hordichuk,VAN,L,56,337.71666666667,1,1,0,1,2,25.00,21,4.76,1.25,35,26,17,8,3,1,142,30,11,14,5,34,7,7,108,49,4,0,1,0.00
295,Deryk Engelland,PIT,D,9,145.25,0,2,1,1,2,33.33,4,0.00,0.12,14,8,0,0,0,0,17,4,1,3,0,4,2,0,25,14,13,0,0,-
296,Matthew Lombardi,PHX,C,78,1399.3333333333,19,34,22,12,53,66.25,174,10.92,17.96,282,232,174,77,7,21,36,18,18,0,0,14,36,20,62,111,29,452,458,49.67
297,Paul Gaustad,BUF,C,65,1023.4333333333,12,10,8,2,22,57.89,111,10.81,10.54,182,142,100,59,6,12,80,30,25,4,1,26,10,17,112,77,34,599,444,57.43
298,Antti Miettinen,MIN,R,79,1425.6833333333,20,22,20,2,42,51.85,175,11.43,16.86,342,249,164,63,2,19,44,22,22,0,0,11,25,19,87,67,30,35,48,42.17
299,Guillaume Lefebvre,BOS,L,1,11.016666666667,0,0,0,0,0,-,0,-,0.05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,-
300,Colton Orr,TOR,R,82,563.05,4,2,1,1,6,40.00,43,9.30,5.22,79,70,50,30,3,2,237,60,31,23,6,35,7,9,119,63,26,1,1,50.00
301,Riley Cote,PHI,L,15,45.416666666667,0,0,0,0,0,-,7,0.00,0.67,7,7,5,3,0,1,24,6,2,4,0,6,0,3,13,6,0,0,0,-
302,Jason Williams,DET,C,44,595.33333333333,6,9,8,1,15,60.00,96,6.25,7.11,167,129,58,12,0,4,8,4,4,0,0,7,23,9,33,25,5,30,30,50.00
303,Tyler Sloan,WSH,D,40,569.71666666667,2,4,2,2,6,27.27,34,5.88,1.82,59,42,25,6,1,4,22,11,11,0,0,6,22,6,56,78,52,2,1,66.67
304,Jason Jaffray,CGY,L,3,19.966666666667,0,0,0,0,0,-,4,0.00,0.24,5,5,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,9,35.71
305,Warren Peters,DAL,C,11,79.383333333333,1,0,0,0,1,50.00,8,12.50,0.5,17,13,6,3,2,0,2,1,1,0,0,0,1,4,27,11,4,39,41,48.75
306,Steve Montador,BUF,D,78,1333.4166666667,5,18,4,14,23,47.92,134,3.73,5.43,241,172,54,14,5,10,75,27,20,7,0,16,49,20,54,95,81,0,1,0.00
307,Raitis Ivanans,L.A,L,61,298.88333333333,0,0,0,0,0,0.00,18,0.00,1.83,34,27,18,11,2,3,136,35,18,14,3,21,10,0,77,38,4,0,0,-
308,Ilya Kovalchuk,"ATL, N.J",R,76,1674.7,41,44,28,16,85,74.56,290,14.14,25.91,562,407,250,70,13,29,53,17,14,1,2,32,73,34,30,53,20,7,23,23.33
309,Jason Spezza,OTT,C,60,1143.7666666667,23,34,22,12,57,71.25,165,13.94,17.95,309,232,157,68,13,13,20,10,10,0,0,16,58,39,23,56,11,514,504,50.49
310,Stephen Weiss,FLA,C,80,1599.5,28,32,18,14,60,69.77,180,15.56,19.66,319,253,185,87,12,17,40,20,20,0,0,17,27,63,43,85,59,813,738,52.42
311,Mikko Koivu,MIN,C,80,1659.5,22,49,22,27,71,77.17,246,8.94,23.32,413,346,225,84,10,14,50,25,25,0,0,20,60,55,50,50,52,864,654,56.92
312,Mike Komisarek,TOR,D,34,677.85,0,4,2,2,4,23.53,35,0.00,1.32,104,59,22,5,0,4,40,16,14,2,0,9,36,7,85,69,62,0,0,-
313,Tuomo Ruutu,CAR,L,54,884.9,14,21,10,11,35,67.31,122,11.48,15.74,225,171,131,60,12,10,50,18,15,2,1,28,19,23,156,118,12,19,28,40.43
314,Fredrik Sjostrom,"CGY, TOR",L,65,701.4,3,8,7,1,11,64.71,64,4.69,5.78,110,84,54,21,0,5,12,6,6,0,0,8,13,15,75,50,35,0,7,0.00
315,Dan Hamhuis,NSH,D,78,1657.9166666667,5,19,4,15,24,36.92,115,4.35,4.82,254,171,48,3,2,12,49,23,22,1,0,23,51,48,148,79,95,0,0,-
316,Ales Hemsky,EDM,R,22,394.6,7,15,10,5,22,75.86,57,12.28,5.45,97,75,46,12,4,6,8,4,4,0,0,8,15,8,5,46,11,1,0,100.00
317,Chuck Kobasew,"BOS, MIN",R,49,681.65,9,6,3,3,15,68.18,71,12.68,7.66,122,104,61,32,5,7,18,9,9,0,0,9,10,10,58,59,34,2,6,25.00
318,R.J. Umberger,CBJ,C,82,1571.8166666667,23,32,20,12,55,68.75,221,10.41,27.68,330,285,210,133,13,22,40,17,15,2,0,30,18,36,107,111,60,372,332,52.84
319,Carlo Colaiacovo,STL,D,67,1159.2666666667,7,25,13,12,32,46.38,74,9.46,5.78,172,118,54,13,4,7,60,20,15,4,1,11,29,12,52,100,52,1,0,100.00
320,Shaone Morrisonn,WSH,D,68,1194.6166666667,1,11,2,9,12,20.69,32,3.13,1.66,78,50,22,2,0,2,68,22,18,2,2,11,30,12,163,109,104,0,0,-
321,Marcel Goc,NSH,C,73,1072.3,12,18,7,11,30,71.43,118,10.17,10.92,207,159,104,41,5,11,14,7,7,0,0,16,24,50,51,65,26,475,437,52.08
322,Colby Armstrong,ATL,R,79,1168.6166666667,15,14,9,5,29,58.00,101,14.85,10.74,175,137,113,50,8,3,61,22,18,3,1,27,22,61,74,93,29,10,10,50.00
323,Tim Gleason,CAR,D,61,1293.3666666667,5,14,6,8,19,35.19,76,6.58,3.36,168,109,30,6,3,11,78,22,14,6,2,22,25,23,149,41,115,0,0,-
324,Lukas Krajicek,"PHI, T.B",D,50,861.26666666667,1,2,1,1,3,12.00,42,2.38,1.66,77,53,12,4,1,6,35,16,15,1,0,9,30,9,33,60,72,0,0,-
325,Jeff Woywitka,DAL,D,36,507.65,0,3,0,3,3,20.00,44,0.00,1.78,89,62,19,3,2,2,11,4,3,1,0,5,18,8,28,64,42,0,0,-
326,David Steckel,WSH,C,79,979.96666666667,5,11,6,5,16,53.33,90,5.56,7.99,162,122,98,42,8,5,19,8,7,1,0,12,24,30,115,62,38,637,439,59.20
327,Derek Roy,BUF,C,80,1550.7833333333,26,43,29,14,69,81.18,215,12.09,22.2,395,304,211,90,14,24,48,24,24,0,0,35,68,51,27,68,47,617,608,50.37
