,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
553,8474145,Robert Bortuzzo,NYI,D,https://assets.nhle.com/mugs/nhl/20232024/NYI/8474145.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,robertbortuzzo,27,370.73333333333,0,0,0,0,0,0.00,11,0.00,0.73,26,18,7,2,0,6,27,12,11,1,0,4,4,4,33,45,51,0,0,-
554,8479525,Ross Colton,COL,C,https://assets.nhle.com/mugs/nhl/20232024/COL/8479525.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,rosscolton,80,1097.5333333333,17,23,14,9,40,71.43,147,11.56,21.69,310,241,180,105,10,30,61,23,21,1,1,22,23,37,123,64,46,423,397,51.59
555,8481030,Jack St. Ivany,PIT,D,https://assets.nhle.com/mugs/nhl/20232024/PIT/8481030.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,jackstivany,14,191.83333333333,0,1,1,0,1,14.29,11,0.00,0.31,25,19,6,1,2,6,2,1,1,0,0,0,3,5,30,16,14,0,0,-
556,8480823,Alexander Alexeyev,WSH,D,https://assets.nhle.com/mugs/nhl/20232024/WSH/8480823.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,alexalexeiev,39,534.15,1,2,1,1,3,20.00,20,5.00,0.48,60,30,13,3,1,3,6,3,3,0,0,0,12,4,46,57,59,0,0,-
557,8482062,Cole Smith,NSH,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8482062.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,colesmith,80,1095.15,9,14,7,7,23,57.50,112,8.04,14.61,194,149,135,77,11,21,63,20,14,5,1,20,26,36,211,133,32,5,12,29.41
558,8477425,Miles Wood,COL,L,https://assets.nhle.com/mugs/nhl/20232024/COL/8477425.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,mileswood,74,1012.6333333333,9,17,14,3,26,60.47,167,5.39,18.29,282,228,152,75,15,30,75,28,25,1,2,26,15,41,97,86,35,13,28,31.71
559,8482720,Matthew Knies,TOR,L,https://assets.nhle.com/mugs/nhl/20232024/TOR/8482720.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,mattknies,80,1094.2,15,20,12,8,35,59.32,115,13.04,13.7,187,161,124,82,10,17,45,21,20,1,0,17,29,38,155,126,30,0,1,0.00
560,8482730,Brandt Clarke,LAK,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8482730.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,brandtclarke,16,218.41666666667,2,4,3,1,6,66.67,31,6.45,1.72,54,40,19,5,0,7,10,5,5,0,0,4,2,1,6,17,21,0,0,-
561,8475793,Ryan Johansen,PHI,C,https://assets.nhle.com/mugs/nhl/20232024/PHI/8475793.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,ryanjohansen,63,859.5,13,10,7,3,23,57.50,78,16.67,9.59,132,104,75,43,4,13,34,9,7,0,2,7,19,21,50,33,15,431,380,53.14
562,8482149,Cole Perfetti,WPG,C,https://assets.nhle.com/mugs/nhl/20232024/WPG/8482149.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,coleperfetti,71,964.78333333333,19,19,16,3,38,63.33,143,13.29,15.85,232,188,134,72,8,26,12,6,6,0,0,3,12,18,23,63,23,38,63,37.62
563,8478463,Anthony Beauvillier,NSH,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478463.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,anthonybeauvillier,60,814.85,5,12,6,6,17,58.62,105,4.76,11.57,199,161,114,47,2,20,8,4,4,0,0,5,10,31,46,69,35,40,38,51.28
564,8479315,Joey Anderson,CHI,R,https://assets.nhle.com/mugs/nhl/20232024/CHI/8479315.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,joeyanderson,55,745.13333333333,5,12,10,2,17,56.67,57,8.77,5.75,106,80,62,29,6,12,8,4,4,0,0,3,20,30,42,37,18,0,2,0.00
565,8482660,Kent Johnson,CBJ,C,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8482660.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,kentjohnson,42,568.75,6,10,6,4,16,61.54,61,9.84,5.69,118,85,50,12,0,11,10,4,4,0,0,5,7,16,8,25,16,8,12,40.00
566,8483524,Shane Wright,SEA,C,https://assets.nhle.com/mugs/nhl/20232024/SEA/8483524.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,shanewright,8,108.28333333333,4,1,1,0,5,83.33,12,33.33,2.37,28,20,17,7,0,2,0,0,0,0,0,3,5,4,1,5,6,41,40,50.62
