Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8474715,Cam Atkinson,R,PHI,35,82,15,19,34
1,8478178,Darren Raddysh,D,TBL,28,82,11,23,34
1,8477506,Ryan Pulock,D,NYI,30,82,8,26,34
1,8482733,Logan Mailloux,D,MTL,31,82,5,29,34
1,8481016,Ruslan Iskhakov,C,NYI,24,82,5,29,34
1,8482089,Jake Neighbours,L,STL,22,82,23,10,33
1,8481604,Pavel Dorofeyev,L,VGK,24,82,20,13,33
1,8475714,Calle Jarnkrok,C,TOR,33,82,19,14,33
1,8474870,Tyler Johnson,C,CHI,34,82,17,16,33
1,8478020,Michael Amadio,C,VGK,28,82,16,17,33
1,8478057,Dakota Joshua,C,VAN,28,82,14,19,33
1,8480802,Ryan McLeod,C,EDM,25,82,13,20,33
1,8479353,Brett Howden,C,VGK,26,82,13,20,33
1,8477429,Andrew Copp,C,DET,30,82,12,21,33
1,8479525,Ross Colton,C,COL,28,82,12,21,33
1,8480009,Eeli Tolvanen,R,SEA,25,82,11,22,33
1,8476917,Adam Pelech,D,NYI,30,82,5,28,33
1,8475760,Nick Bjugstad,C,ARI,32,82,21,11,32
1,8477952,Robby Fabbri,C,DET,28,82,20,12,32
1,8476438,Brandon Saad,L,STL,32,82,17,15,32
1,8482624,Daniil Miromanov,D,CGY,27,82,12,20,32
1,8475763,Kevin Hayes,R,STL,32,82,11,21,32
1,8480817,K'Andre Miller,D,NYR,24,82,10,22,32
1,8476927,Teddy Blueger,C,VAN,30,82,9,23,32
1,8479983,Mario Ferraro,D,SJS,26,82,7,25,32
1,8474716,Jared Spurgeon,D,MIN,35,82,7,25,32
1,8476958,Jaccob Slavin,D,CAR,30,82,5,27,32
1,8480821,Filip Zadina,R,SJS,25,82,19,12,31
1,8482111,Justin Barron,D,MTL,23,82,15,16,31
1,8470604,Jeff Carter,C,PIT,39,82,15,16,31
1,8474586,Jordan Eberle,R,SEA,34,82,12,19,31
1,8479346,Dillon Dube,C,CGY,26,82,12,19,31
1,8480185,Eetu Luostarinen,C,FLA,26,82,11,20,31
1,8478882,Vladislav Gavrikov,D,LAK,29,82,10,21,31
1,8475791,Taylor Hall,L,CHI,33,82,10,21,31
1,8480806,Isac Lundestrom,C,ANA,25,82,10,21,31
1,8479977,Kailer Yamamoto,R,SEA,26,82,10,21,31
1,8477953,Kasperi Kapanen,R,STL,28,82,7,24,31
1,8480043,Timothy Liljegren,D,TOR,25,82,5,26,31
1,8480871,Adam Boqvist,D,CBJ,24,82,16,14,30
1,8473422,Nick Foligno,L,CHI,37,82,16,14,30
1,8476392,Adam Lowry,C,WPG,31,82,15,15,30
1,8478508,Yakov Trenin,C,COL,27,82,15,15,30
1,8477426,Nicholas Paul,L,TBL,29,82,14,16,30
1,8476925,Colton Sissons,C,NSH,31,82,14,16,30
1,8479365,Trent Frederic,C,BOS,26,82,14,16,30
1,8474149,Evgenii Dadonov,R,DAL,35,82,12,18,30
1,8478055,Gustav Forsling,D,FLA,28,82,10,20,30
1,8483491,Ivan Miroshnichenko,L,WSH,20,82,10,20,30
1,8481546,Cam York,D,PHI,23,82,7,23,30
1,8480145,Neal Pionk,D,WPG,29,82,6,24,30
1,8478851,Alexandre Carrier,D,NSH,28,82,5,25,30
1,8477969,Marcus Pettersson,D,PIT,28,82,4,26,30
1,8481703,Valtteri Puustinen,R,PIT,25,82,3,27,30
1,8484145,Zach Benson,L,BUF,19,82,17,12,29
1,8475848,Brendan Gallagher,R,MTL,32,82,17,12,29
1,8479591,Michael Eyssimont,C,TBL,28,82,16,13,29
1,8473449,Kyle Okposo,R,FLA,36,82,14,15,29
1,8479941,Justin Danforth,R,CBJ,31,82,12,17,29
1,8480068,Ryan Poehling,C,PHI,25,82,11,18,29
1,8475793,Ryan Johansen,C,PHI,32,82,9,20,29
1,8482087,Kaiden Guhle,D,MTL,22,82,6,23,29
1,8482118,Sam Colangelo,R,ANA,23,82,21,7,28
1,8475314,Anders Lee,L,NYI,34,82,18,10,28
1,8481093,Rafael Harvey-Pinard,L,MTL,25,82,17,11,28
1,8478115,Pierre Engvall,L,NYI,28,82,14,14,28
1,8481535,Nils Hoglander,L,VAN,24,82,13,15,28
1,8477947,Sonny Milano,L,WSH,28,82,11,17,28
1,8482079,Marco Rossi,C,MIN,23,82,10,18,28
1,8475343,Nic Dowd,C,WSH,34,82,10,18,28
1,8476480,Vladislav Namestnikov,C,WPG,32,82,10,18,28
1,8478430,Oliver Kylington,D,CGY,27,82,9,19,28
1,8477450,Jason Dickinson,C,CHI,29,82,9,19,28
1,8481618,Alex Newhook,C,MTL,23,82,9,19,28
1,8476331,Dylan DeMelo,D,WPG,31,82,7,21,28
1,8483490,Pavel Mintyukov,D,ANA,21,82,7,21,28
1,8476967,Brett Kulak,D,EDM,30,82,7,21,28
1,8479398,Samuel Girard,D,COL,26,82,5,23,28
1,8483431,Logan Cooley,C,ARI,20,82,19,8,27
1,8476921,Jordan Martinook,L,CAR,32,82,16,11,27
1,8470610,Zach Parise,L,COL,40,82,15,12,27
1,8479316,Luke Kunin,C,SJS,27,82,14,13,27
1,8480074,Alexandre Texier,C,CBJ,25,82,14,13,27
1,8479661,Tanner Jeannot,L,TBL,27,82,14,13,27
1,8482142,Jamie Drysdale,D,PHI,22,82,13,14,27
1,8481553,Bobby Brink,R,PHI,23,82,13,14,27
1,8470621,Corey Perry,R,EDM,39,82,12,15,27
1,8481554,Kaapo Kakko,R,NYR,23,82,11,16,27
1,8479514,Rem Pitlick,C,CHI,27,82,9,18,27
1,8474034,Pat Maroon,L,BOS,36,82,9,18,27
1,8476892,Colton Parayko,D,STL,31,82,8,19,27
1,8477507,Nikita Zadorov,D,VAN,29,82,8,19,27
1,8480078,Filip Chytil,C,NYR,25,82,7,20,27
1,8478911,Matt Roy,D,LAK,29,82,6,21,27
1,8475171,Oliver Ekman-Larsson,D,FLA,33,82,4,23,27
1,8482122,Brock Faber,D,MIN,22,82,2,25,27
1,8480281,Alexey Toropchenko,R,STL,25,82,18,8,26
1,8476469,Joel Armia,R,MTL,31,82,15,11,26
1,8481186,Logan O'Connor,R,COL,28,82,15,11,26
1,8477944,Jakub Vrana,L,STL,28,82,14,12,26
1,8476873,Mark Jankowski,C,NSH,30,82,14,12,26
1,8479293,Brandon Tanev,L,SEA,33,82,13,13,26
1,8478451,Ethan Bear,D,WSH,27,82,11,15,26
1,8477498,Darnell Nurse,D,EDM,29,82,10,16,26
1,8478569,Noel Acciari,C,PIT,33,82,9,17,26
1,8477839,Conor Sheary,L,TBL,32,82,9,17,26
1,8480813,Joe Veleno,C,DET,24,82,8,18,26
1,8476871,Tanner Pearson,L,MTL,32,82,8,18,26
1,8474673,TJ Brodie,D,TOR,34,82,6,20,26
1,8479976,Juuso Valimaki,D,ARI,26,82,6,20,26
1,8476885,Jacob Trouba,D,NYR,30,82,4,22,26
1,8481178,Egor Zamula,D,PHI,24,82,2,24,26
1,8475842,Sam Carrick,C,EDM,32,82,19,6,25
1,8478109,Victor Olofsson,L,BUF,29,82,15,10,25
1,8481580,Connor McMichael,C,WSH,23,82,14,11,25
1,8482125,Alexander Holtz,R,NJD,22,82,11,14,25
1,8475149,Marcus Johansson,L,MIN,34,82,10,15,25
1,8480144,David Kampf,C,TOR,29,82,9,16,25
1,8481481,Blake Lizotte,C,LAK,27,82,9,16,25
1,8475220,Marcus Foligno,L,MIN,33,82,8,17,25
1,8477425,Miles Wood,L,COL,29,82,8,17,25
1,8480855,Jack McBain,C,ARI,24,82,8,17,25
1,8481567,Henry Thrun,D,SJS,23,82,6,19,25
1,8483495,Simon Nemec,D,NJD,20,82,6,19,25
1,8482133,Thomas Bordeleau,C,SJS,22,82,6,19,25
1,8478859,Niko Mikkola,D,FLA,28,82,5,20,25
1,8476931,Jake McCabe,D,TOR,31,82,4,21,25
1,8480796,Martin Fehervary,D,WSH,25,82,4,21,25
1,8478013,Jake Walman,D,DET,28,82,4,21,25
1,8470966,Mark Giordano,D,TOR,41,82,4,21,25
1,8482702,Logan Stankoven,C,DAL,21,82,17,7,24
1,8483499,Liam Ohgren,L,MIN,20,82,14,10,24
1,8474884,Mike Hoffman,C,SJS,35,82,13,11,24
1,8479351,Sam Steel,C,DAL,26,82,13,11,24
1,8476461,Sean Couturier,C,PHI,32,82,12,12,24
1,8483505,Matthew Poitras,C,BOS,20,82,11,13,24
1,8474189,Lars Eller,C,PIT,35,82,10,14,24
1,8481704,Juuso Parssinen,C,NSH,23,82,9,15,24
1,8476463,Jonas Brodin,D,MIN,31,82,8,16,24
1,8476312,Josh Manson,D,COL,33,82,7,17,24
1,8477392,Hudson Fasching,R,NYI,29,82,7,17,24
1,8478133,Jake Evans,C,MTL,28,82,6,18,24
1,8475181,Nick Leddy,D,STL,33,82,5,19,24
1,8477435,Ryan Graves,D,PIT,29,82,5,19,24
1,8477220,Nate Schmidt,D,WPG,33,82,5,19,24
1,8476525,Colin Miller,D,WPG,32,82,5,19,24
1,8476923,Damon Severson,D,CBJ,30,82,3,21,24
1,8475179,Dmitry Kulikov,D,FLA,34,82,2,22,24
1,8476879,Cody Ceci,D,EDM,31,82,1,23,24
1,8473507,Jeff Petry,D,DET,37,82,1,23,24
1,8482145,Mavrik Bourque,C,DAL,22,82,17,6,23
1,8482155,Alex Laferriere,R,LAK,23,82,13,10,23
1,8481601,Simon Holmstrom,R,NYI,23,82,13,10,23
1,8476278,Colin Blackwell,C,CHI,31,82,12,11,23
1,8478043,Sam Lafferty,C,VAN,29,82,11,12,23
1,8481517,Brett Leason,R,ANA,25,82,9,14,23
1,8479369,Andrew Peeke,D,BOS,26,82,6,17,23
1,8477369,Carson Soucy,D,VAN,30,82,6,17,23
1,8480172,Jan Rutta,D,SJS,34,82,5,18,23
1,8482712,Oskar Olausson,R,COL,22,82,5,18,23
