,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
230,8477495,Seth Jones,D,CHI,30,66.5,11.2,28.2,39.4
231,8475714,Calle Jarnkrok,C,TOR,33,79.3,18.0,21.3,39.3
232,8475793,Ryan Johansen,C,PHI,32,72.6,18.0,21.0,39.0
233,8480185,Eetu Luostarinen,C,FLA,26,74.8,17.2,21.5,38.7
234,8482097,Jack Quinn,R,BUF,23,62.5,14.9,23.5,38.4
235,8475218,Mattias Ekholm,D,EDM,34,73.0,10.2,28.2,38.4
236,8471698,T.J. Oshie,R,WSH,38,64.6,18.0,20.2,38.2
237,8481560,Arthur Kaliyev,R,LAK,23,78.3,20.2,17.8,38.0
238,8476292,Ondrej Palat,L,NJD,33,69.5,12.6,25.4,38.0
239,8480145,Neal Pionk,D,WPG,29,73.7,8.0,30.0,38.0
240,8482146,Luke Evangelista,R,NSH,22,68.9,17.2,20.5,37.7
241,8478458,Jack Roslovic,C,CAR,27,66.2,9.9,27.6,37.5
242,8478115,Pierre Engvall,L,NYI,28,77.3,14.4,23.0,37.4
243,8476923,Damon Severson,D,CBJ,30,80.3,8.1,29.2,37.3
244,8476872,Scott Laughton,C,PHI,30,73.1,13.5,23.7,37.2
245,8481186,Logan O'Connor,R,COL,28,78.2,16.4,20.7,37.1
246,8477429,Andrew Copp,C,DET,30,79.4,14.3,22.8,37.1
247,8476869,Brady Skjei,D,NSH,30,70.9,9.6,27.2,36.8
248,8475760,Nick Bjugstad,C,UTA,32,72.2,18.6,18.0,36.6
249,8475799,Nino Niederreiter,R,WPG,32,67.4,18.8,17.5,36.3
250,8479365,Trent Frederic,C,BOS,26,74.4,17.0,19.3,36.3
251,8475764,Cam Fowler,D,ANA,33,73.3,3.7,32.4,36.1
252,8482175,JJ Peterka,R,BUF,22,67.0,18.0,17.9,35.9
253,8476419,Jean-Gabriel Pageau,C,NYI,32,76.2,12.9,23.0,35.9
254,8476958,Jaccob Slavin,D,CAR,30,75.5,6.3,29.6,35.9
255,8476461,Sean Couturier,C,PHI,32,68.0,11.8,24.0,35.8
256,8477969,Marcus Pettersson,D,PIT,28,76.8,4.4,31.4,35.8
257,8483505,Matthew Poitras,C,BOS,20,73.7,11.3,24.3,35.6
