,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
487,8483619,Filip Roos,CHI,D,https://assets.nhle.com/mugs/nhl/20232024/CHI/8483619.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,filiproos,0,0,0,0,0,0,0,0,0,0,0,41.38,0,0,16.67,0,0,0,0,0,28.57,0,0,15.79,0,0,0.00,0,0,39.13,0,0,-,0,0,0,0,0,50.00,4.17,85.29,0.895,0,0,0,0,63.64,0,0,0,52.17
488,8482101,Danil Gushchin,SJS,L,https://assets.nhle.com/mugs/nhl/20232024/SJS/8482101.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,danilgushchin,0,0,0,0,0,0,0,0,0,0,0,26.92,0,0,33.33,0,0,0,0,0,26.00,0,0,17.65,0,0,33.33,0,0,30.30,0,0,0.00,0,0,0,0,0,100.00,14.29,89.47,1.038,0,0,0,0,25.00,0,0,0,23.08
489,8480196,Jacob Bryson,BUF,D,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480196.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,jakebryson,0,0,0,0,0,0,0,0,0,0,0,45.38,0,0,54.29,0,0,0,0,0,42.54,0,0,42.11,0,0,57.14,0,0,42.86,0,0,58.33,0,0,0,0,0,44.44,8.80,93.85,1.026,0,0,0,0,38.82,0,0,0,40.52
490,8481167,Brayden Pachal,CGY,D,https://assets.nhle.com/mugs/nhl/20232024/CGY/8481167.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,braydenpachal,0,0,0,0,0,0,0,0,0,0,0,45.51,0,0,40.98,0,0,0,0,0,46.98,0,0,44.67,0,0,40.00,0,0,48.45,0,0,37.50,0,0,0,0,0,44.44,8.09,90.27,0.984,0,0,0,0,39.51,0,0,0,45.43
491,8482702,Logan Stankoven,DAL,C,https://assets.nhle.com/mugs/nhl/20232024/DAL/8482702.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,loganstankoven,0,0,0,0,0,0,0,0,0,0,0,61.41,0,0,67.57,0,0,0,0,0,65.41,0,0,67.07,0,0,72.73,0,0,64.08,0,0,70.00,0,0,0,0,0,40.00,11.06,91.55,1.026,0,0,0,0,57.38,0,0,0,53.66
492,8481477,Nico Sturm,SJS,C,https://assets.nhle.com/mugs/nhl/20232024/SJS/8481477.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,nicosturm,0,0,0,0,0,0,0,0,0,0,0,37.16,0,0,28.26,0,0,0,0,0,32.42,0,0,33.16,0,0,23.08,0,0,31.93,0,0,29.03,0,0,0,0,0,35.00,7.65,88.52,0.962,0,0,0,0,24.18,0,0,0,30.84
493,8476921,Jordan Martinook,CAR,L,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476921.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,jordanmartinook,0,0,0,0,0,0,0,0,0,0,0,54.93,0,0,44.55,0,0,0,0,0,57.31,0,0,56.82,0,0,47.37,0,0,57.70,0,0,35.71,0,0,0,0,0,46.67,7.69,88.33,0.960,0,0,0,0,44.39,0,0,0,43.82
494,8481701,Santeri Hatakka,NJD,D,https://assets.nhle.com/mugs/nhl/20232024/NJD/8481701.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,santerihatakka,0,0,0,0,0,0,0,0,0,0,0,45.74,0,0,63.16,0,0,0,0,0,43.48,0,0,52.11,0,0,70.00,0,0,36.67,0,0,66.67,0,0,0,0,0,33.33,13.95,93.14,1.071,0,0,0,0,43.10,0,0,0,43.27
495,8481708,Zac Jones,NYR,D,https://assets.nhle.com/mugs/nhl/20232024/NYR/8481708.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,zacjones,0,0,0,0,0,0,0,0,0,0,0,48.67,0,0,51.11,0,0,0,0,0,50.25,0,0,49.40,0,0,39.13,0,0,50.87,0,0,66.67,0,0,0,0,0,60.00,10.45,90.52,1.010,0,0,0,0,54.93,0,0,0,53.26
496,8481704,Juuso Parssinen,NSH,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8481704.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,juusoparssinen,0,0,0,0,0,0,0,0,0,0,0,49.76,0,0,48.21,0,0,0,0,0,53.04,0,0,50.85,0,0,48.48,0,0,54.47,0,0,40.00,0,0,0,0,0,50.00,8.85,90.58,0.994,0,0,0,0,54.71,0,0,0,53.33
