,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
31,8478469,Thomas Chabot,OTT,D,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478469.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,72,thomaschabot,38.0,888.0,23.368421052632,69.59,54.73,55.98,48.51,39.26,55.27,33.85,26.96,55.67,3.58,3.04,54.08,3.1,2.84,52.18,32.23,26.22,55.14,11.69,11.28,50.88,1.76,1.69,50.98,27.39,19.91,57.9,1.89,0.81,70.00,60.02,47.73,55.71,0.59,0.98,37.50,10.58,88.72,0.993,7.7,9.8,9.39,46.76,45.06,22.09,15.14,18.58,54.32
32,8475167,Victor Hedman,TBL,D,https://assets.nhle.com/mugs/nhl/20242025/TBL/8475167.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,77,victorhedman,35.0,816.2,23.32,67.7,53.08,56.06,48.15,38.37,55.65,34.26,27.57,55.41,4.26,2.57,62.37,3.72,2.84,56.68,32.93,22.94,58.95,14.33,8.53,62.70,1.98,0.81,71.05,24.8,19.21,56.35,1.67,1.67,50.00,64.45,47.36,57.64,1.49,0.42,77.78,12.45,90.67,1.031,12.13,9.26,6.1,39.55,66.53,27.93,15.8,16.32,63.12
33,8477346,MacKenzie Weegar,CGY,D,https://assets.nhle.com/mugs/nhl/20242025/CGY/8477346.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,52,mackenzieweegar,39.0,908.36666666667,23.291452991453,65.66,51.52,56.03,44.85,34.68,56.4,31.11,23.84,56.61,3.17,2.64,54.55,3.1,2.96,51.15,29.26,27.21,51.81,11.63,10.63,52.23,1.39,1.32,51.22,23.51,22.11,51.54,1.59,1.06,60.00,59.06,43.41,57.64,0.57,0.67,46.15,10.19,88.92,0.991,11.56,11.69,11.76,45.05,49.58,26.49,17.77,20.94,55.85
34,8479998,Mikey Anderson,LAK,D,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479998.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,44,michaelyanderson,38.0,878.46666666667,23.117543859649,47.61,58.47,44.88,32.92,40.37,44.92,20.35,26.71,43.25,2.39,2.46,49.30,2.44,2.73,47.18,22.06,27.59,44.43,8.81,10.93,44.64,1.23,1.16,51.43,17.67,22.22,44.29,0.55,1.0,35.29,35.91,53.47,40.18,0.49,0.79,38.46,11.74,90.79,1.025,4.64,10.79,10.86,40.23,29.96,11.95,17.89,25.95,31.53
35,8477492,Nathan MacKinnon,COL,C,https://assets.nhle.com/mugs/nhl/20242025/COL/8477492.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,29,nathanmackinnon,41.0,947.58333333333,23.111788617886,77.88,49.39,61.19,56.04,34.89,61.63,39.07,22.92,63.02,5.51,2.98,64.93,4.9,3.01,61.96,42.17,23.49,64.22,15.64,10.13,60.69,2.09,1.46,58.93,35.37,17.81,66.51,2.36,0.76,75.68,69.51,38.41,64.41,1.74,0.64,73.08,14.1,87.02,1.011,16.15,10.45,5.51,31.91,74.56,35.14,17.1,14.82,70.34
36,8478055,Gustav Forsling,FLA,D,https://assets.nhle.com/mugs/nhl/20242025/FLA/8478055.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,42,gustavforsling,41.0,941.58333333333,22.965447154472,59.71,62.26,48.96,43.2,46.33,48.26,29.44,30.59,49.04,2.93,2.74,51.69,2.58,3.14,45.06,24.85,27.66,47.33,10.13,11.98,45.82,1.21,1.27,48.72,19.63,20.9,48.43,0.76,1.02,42.86,54.58,59.74,47.75,1.56,1.01,60.71,9.96,91.04,1.01,8.03,10.58,11.53,43.78,41.04,18.29,17.33,23.96,43.29
37,8476463,Jonas Brodin,MIN,D,https://assets.nhle.com/mugs/nhl/20242025/MIN/8476463.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,25,jonasbrodin,30.0,686.95,22.898333333333,50.13,62.54,44.5,35.64,44.02,44.74,25.59,29.78,46.21,2.88,3.32,46.48,2.41,2.82,46.11,20.79,27.77,42.81,9.43,11.09,45.96,0.79,1.66,32.14,15.14,22.24,40.5,1.28,1.86,40.74,44.41,58.54,43.14,1.01,0.38,72.73,11.26,88.86,1.001,4.19,10.74,9.96,42.71,29.63,16.33,19.3,23.5,41.01
38,8474578,Erik Karlsson,PIT,D,https://assets.nhle.com/mugs/nhl/20242025/PIT/8474578.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,65,erikkarlsson,41.0,938.11666666667,22.880894308943,71.7,58.33,55.14,51.23,42.08,54.9,34.92,28.65,54.93,4.09,3.52,53.78,4.17,3.27,56.1,34.67,28.65,54.75,16.69,12.22,57.74,2.37,1.47,61.67,23.96,21.92,52.23,1.53,1.62,48.65,63.38,45.55,58.18,0.83,1.02,45.00,11.72,87.72,0.994,10.3,11.77,7.42,37.8,58.12,25.2,17.78,17.14,59.52
39,8475218,Mattias Ekholm,EDM,D,https://assets.nhle.com/mugs/nhl/20242025/EDM/8475218.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,14,mattiasekholm,39.0,891.88333333333,22.868803418803,67.0,51.53,56.53,47.09,37.81,55.47,32.69,24.76,56.91,3.77,3.3,53.33,3.34,2.95,53.12,32.63,25.43,56.2,13.72,9.75,58.45,2.02,1.28,61.22,25.21,20.9,54.67,1.61,1.7,48.65,58.11,43.44,57.22,0.58,0.78,42.86,11.52,86.68,0.982,8.48,9.55,10.49,38.55,44.68,23.81,15.27,19.37,55.14
40,8478013,Jake Walman,SJS,D,https://assets.nhle.com/mugs/nhl/20242025/SJS/8478013.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,96,jakewalman,31.0,707.73333333333,22.830107526882,65.19,61.29,51.54,47.39,44.08,51.81,31.96,29.93,51.64,3.48,3.56,49.40,3.38,3.27,50.81,29.5,32.13,47.87,10.94,11.78,48.13,1.36,1.61,45.71,24.76,27.13,47.71,1.47,1.92,43.33,60.0,49.59,54.75,1.35,0.61,68.75,10.88,88.1,0.99,8.56,10.34,12.21,38.74,41.22,22.3,16.45,21.28,51.17
