,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
171,8476453,Nikita Kucherov,R,TBL,31,0.0,0.0,0.0,0.0,0.0
172,8476456,Jonathan Huberdeau,C,CGY,31,0.0,0.0,0.0,0.0,0.0
173,8476457,Adam Larsson,D,SEA,32,0.0,0.0,0.0,0.0,0.0
174,8476458,Ryan Strome,C,ANA,31,0.0,0.0,0.0,0.0,0.0
175,8476459,Mika Zibanejad,C,NYR,31,0.0,0.0,0.0,0.0,0.0
176,8476460,Mark Scheifele,C,WPG,31,0.0,0.0,0.0,0.0,0.0
177,8476461,Sean Couturier,C,PHI,32,0.0,0.0,0.0,0.0,0.0
178,8476462,Dougie Hamilton,D,NJD,31,0.0,0.0,0.0,0.0,0.0
179,8476463,Jonas Brodin,D,MIN,31,0.0,0.0,0.0,0.0,0.0
180,8476467,Jamie Oleksiak,D,SEA,32,0.0,0.0,0.0,0.0,0.0
181,8476468,J.T. Miller,C,VAN,31,0.0,0.0,0.0,0.0,0.0
182,8476469,Joel Armia,R,MTL,31,0.0,0.0,0.0,0.0,0.0
183,8476473,Connor Murphy,D,CHI,31,0.0,0.0,0.0,0.0,0.0
184,8476474,Stefan Noesen,R,NJD,31,0.0,0.0,0.0,0.0,0.0
185,8476479,Phillip Danault,C,LAK,31,0.0,0.0,0.0,0.0,0.0
186,8476480,Vladislav Namestnikov,C,WPG,32,0.0,0.0,0.0,0.0,0.0
187,8476483,Rickard Rakell,R,PIT,31,0.0,0.0,0.0,0.0,0.0
188,8476525,Colin Miller,D,WPG,32,0.0,0.0,0.0,0.0,0.0
189,8476539,Jonathan Marchessault,R,NSH,34,0.0,0.0,0.0,0.0,0.0
190,8476624,Barclay Goodrow,C,SJS,31,0.0,0.0,0.0,0.0,0.0
191,8476792,Torey Krug,D,STL,33,0.0,0.0,0.0,0.0,0.0
192,8476822,Luke Glendening,C,TBL,35,0.0,0.0,0.0,0.0,0.0
193,8476826,Yanni Gourde,C,SEA,33,0.0,0.0,0.0,0.0,0.0
194,8476854,Hampus Lindholm,D,BOS,30,0.0,0.0,0.0,0.0,0.0
195,8476856,Mathew Dumba,D,DAL,30,0.0,0.0,0.0,0.0,0.0
196,8476858,Phillip Di Giuseppe,L,VAN,31,0.0,0.0,0.0,0.0,0.0
197,8476867,Brendan Gaunce,C,MIN,30,0.0,0.0,0.0,0.0,0.0
198,8476869,Brady Skjei,D,NSH,30,0.0,0.0,0.0,0.0,0.0
199,8476872,Scott Laughton,C,PHI,30,0.0,0.0,0.0,0.0,0.0
200,8476873,Mark Jankowski,C,NSH,30,0.0,0.0,0.0,0.0,0.0
201,8476874,Olli Maatta,D,DET,30,0.0,0.0,0.0,0.0,0.0
202,8476875,Mike Matheson,D,MTL,30,0.0,0.0,0.0,0.0,0.0
203,8476878,Zemgus Girgensons,C,TBL,30,0.0,0.0,0.0,0.0,0.0
204,8476879,Cody Ceci,D,SJS,31,0.0,0.0,0.0,0.0,0.0
205,8476880,Tom Wilson,R,WSH,30,0.0,0.0,0.0,0.0,0.0
206,8476881,Tomas Hertl,C,VGK,31,0.0,0.0,0.0,0.0,0.0
207,8476882,Teuvo Teravainen,C,CHI,30,0.0,0.0,0.0,0.0,0.0
208,8476885,Jacob Trouba,D,NYR,30,0.0,0.0,0.0,0.0,0.0
209,8476887,Filip Forsberg,L,NSH,30,0.0,0.0,0.0,0.0,0.0
210,8476889,Radek Faksa,C,STL,30,0.0,0.0,0.0,0.0,0.0
211,8476891,Matthew Grzelcyk,D,PIT,30,0.0,0.0,0.0,0.0,0.0
212,8476892,Colton Parayko,D,STL,31,0.0,0.0,0.0,0.0,0.0
213,8476897,Oskar Sundqvist,C,STL,30,0.0,0.0,0.0,0.0,0.0
214,8476902,Esa Lindell,D,DAL,30,0.0,0.0,0.0,0.0,0.0
215,8476905,Chandler Stephenson,C,SEA,30,0.0,0.0,0.0,0.0,0.0
216,8476906,Shayne Gostisbehere,D,CAR,31,0.0,0.0,0.0,0.0,0.0
217,8476913,Devin Shore,C,MIN,30,0.0,0.0,0.0,0.0,0.0
218,8476917,Adam Pelech,D,NYI,30,0.0,0.0,0.0,0.0,0.0
219,8476918,Jimmy Vesey,L,NYR,31,0.0,0.0,0.0,0.0,0.0
220,8476921,Jordan Martinook,L,CAR,32,0.0,0.0,0.0,0.0,0.0
221,8476923,Damon Severson,D,CBJ,30,0.0,0.0,0.0,0.0,0.0
222,8476925,Colton Sissons,C,NSH,31,0.0,0.0,0.0,0.0,0.0
223,8476927,Teddy Blueger,C,VAN,30,0.0,0.0,0.0,0.0,0.0
224,8476934,Brock McGinn,L,ANA,30,0.0,0.0,0.0,0.0,0.0
225,8476952,Dominic Toninato,C,WPG,30,0.0,0.0,0.0,0.0,0.0
226,8476958,Jaccob Slavin,D,CAR,30,0.0,0.0,0.0,0.0,0.0
227,8476960,Andreas Athanasiou,C,CHI,30,0.0,0.0,0.0,0.0,0.0
228,8476979,Erik Gustafsson,D,DET,32,0.0,0.0,0.0,0.0,0.0
229,8476981,Josh Anderson,R,MTL,30,0.0,0.0,0.0,0.0,0.0
230,8476988,Matt Benning,D,SJS,30,0.0,0.0,0.0,0.0,0.0
231,8476994,Vinnie Hinostroza,C,NSH,30,0.0,0.0,0.0,0.0,0.0
232,8477018,Ben Hutton,D,VGK,31,0.0,0.0,0.0,0.0,0.0
233,8477021,Alex Kerfoot,C,UTA,30,0.0,0.0,0.0,0.0,0.0
234,8477034,Jaycob Megna,D,FLA,32,0.0,0.0,0.0,0.0,0.0
235,8477070,Liam O'Brien,C,UTA,30,0.0,0.0,0.0,0.0,0.0
236,8477073,Kurtis MacDermid,L,NJD,30,0.0,0.0,0.0,0.0,0.0
237,8477149,Scott Sabourin,R,SJS,32,0.0,0.0,0.0,0.0,0.0
238,8477220,Nate Schmidt,D,FLA,33,0.0,0.0,0.0,0.0,0.0
239,8477244,Chad Ruhwedel,D,NYR,34,0.0,0.0,0.0,0.0,0.0
240,8477320,Anton Blidh,L,NYR,29,0.0,0.0,0.0,0.0,0.0
241,8477335,Kyle Burroughs,D,LAK,29,0.0,0.0,0.0,0.0,0.0
242,8477346,MacKenzie Weegar,D,CGY,30,0.0,0.0,0.0,0.0,0.0
243,8477353,Tyler Motte,C,DET,29,0.0,0.0,0.0,0.0,0.0
244,8477365,Connor Clifton,D,BUF,29,0.0,0.0,0.0,0.0,0.0
245,8477369,Carson Soucy,D,VAN,30,0.0,0.0,0.0,0.0,0.0
246,8477380,Jonny Brodzinski,C,NYR,31,0.0,0.0,0.0,0.0,0.0
247,8477392,Hudson Fasching,R,NYI,29,0.0,0.0,0.0,0.0,0.0
248,8477401,John Hayden,C,SEA,29,0.0,0.0,0.0,0.0,0.0
249,8477402,Pavel Buchnevich,L,STL,29,0.0,0.0,0.0,0.0,0.0
250,8477404,Jake Guentzel,C,TBL,30,0.0,0.0,0.0,0.0,0.0
251,8477407,Anthony Duclair,L,NYI,29,0.0,0.0,0.0,0.0,0.0
252,8477409,Carter Verhaeghe,C,FLA,29,0.0,0.0,0.0,0.0,0.0
253,8477416,Oliver Bjorkstrand,R,SEA,29,0.0,0.0,0.0,0.0,0.0
254,8477425,Miles Wood,L,COL,29,0.0,0.0,0.0,0.0,0.0
255,8477426,Nicholas Paul,L,TBL,29,0.0,0.0,0.0,0.0,0.0
